Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
"Congressional District 40 (116th Congress), California!!Total!!Margin of Error","±9,757",,"±6,961","±4,704","±4,640","±4,297",,"±6,051","±6,440",,"±9,400","±3,920","±2,905","±1,653",N,"±7,260","±1,605","±9,044","±2,476",,"±3,520","±3,652","±5,524","±5,726","±2,138","±3,256","±1,557","±8,986","±4,027",,"±9,764","±4,237","±9,120",,"±2,499"
"Congressional District 40 (116th Congress), California!!Percent!!Estimate",(X),,35.90%,23.70%,25.30%,15.00%,,48.80%,51.20%,,55.80%,7.70%,3.00%,1.10%,N,29.90%,2.40%,82.80%,5.40%,,11.80%,12.60%,30.20%,27.10%,6.40%,9.10%,2.80%,75.60%,12.00%,,(X),12.90%,87.10%,,(X)
"Congressional District 40 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.6,±1.4,±1.2,±1.2,,±1.2,±1.2,,±2.2,±1.1,±0.9,±0.5,N,±2.0,±0.5,±1.3,±0.7,,±1.0,±1.1,±1.4,±1.5,±0.7,±0.9,±0.4,±1.4,±1.1,,(X),±1.2,±1.2,,(X)
"Congressional District 41 (116th Congress), California!!Total!!Estimate","479,421",,"150,189","125,877","135,784","67,571",,"235,656","243,765",,"245,702","54,321","34,799",N,N,"123,708","14,177","255,490","125,988",,"33,463","39,224","146,774","142,605","35,042","53,459","28,854","406,734","82,313",,"465,782","43,211","422,571",,"72,892"
"Congressional District 41 (116th Congress), California!!Total!!Margin of Error","±11,001",,"±6,589","±7,134","±6,246","±3,847",,"±7,704","±6,661",,"±10,688","±5,545","±4,503",N,N,"±10,054","±2,231","±9,107","±7,209",,"±3,775","±3,783","±7,398","±7,550","±3,063","±4,270","±2,967","±11,514","±4,953",,"±11,176","±5,393","±11,908",,"±3,384"
"Congressional District 41 (116th Congress), California!!Percent!!Estimate",(X),,31.30%,26.30%,28.30%,14.10%,,49.20%,50.80%,,51.20%,11.30%,7.30%,N,N,25.80%,3.00%,53.30%,26.30%,,7.00%,8.20%,30.60%,29.70%,7.30%,11.20%,6.00%,84.80%,17.20%,,(X),9.30%,90.70%,,(X)
"Congressional District 41 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.2,±1.3,±1.1,±0.8,,±1.0,±1.0,,±2.0,±1.1,±0.9,N,N,±2.0,±0.4,±1.7,±1.4,,±0.8,±0.8,±1.4,±1.4,±0.6,±0.8,±0.6,±1.1,±0.9,,(X),±1.2,±1.2,,(X)
"Congressional District 42 (116th Congress), California!!Total!!Estimate","565,461",,"121,011","156,746","191,523","96,181",,"280,586","284,875",,"366,883","39,577","51,537",N,N,"78,058",N,"202,908","256,012",,"19,234","29,466","150,665","167,794","54,187","96,761","47,354","516,761","144,115",,"560,398","36,252","524,146",,"95,021"
"Congressional District 42 (116th Congress), California!!Total!!Margin of Error","±10,856",,"±6,255","±6,653","±7,617","±4,401",,"±8,298","±6,231",,"±11,324","±4,510","±5,838",N,N,"±8,051",N,"±9,166","±7,995",,"±3,000","±3,488","±7,730","±8,998","±5,456","±6,046","±3,890","±10,585","±7,776",,"±11,081","±4,811","±12,583",,"±4,846"
"Congressional District 42 (116th Congress), California!!Percent!!Estimate",(X),,21.40%,27.70%,33.90%,17.00%,,49.60%,50.40%,,64.90%,7.00%,9.10%,N,N,13.80%,N,35.90%,45.30%,,3.40%,5.20%,26.60%,29.70%,9.60%,17.10%,8.40%,91.40%,25.50%,,(X),6.50%,93.50%,,(X)
"Congressional District 42 (116th Congress), California!!Percent!!Margin of Error",(X),,±0.9,±1.2,±1.0,±0.8,,±0.9,±0.9,,±1.8,±0.8,±1.0,N,N,±1.4,N,±1.4,±1.5,,±0.5,±0.6,±1.3,±1.4,±1.0,±1.0,±0.7,±0.8,±1.3,,(X),±0.9,±0.9,,(X)
"Congressional District 43 (116th Congress), California!!Total!!Estimate","451,030",,"109,150","120,701","138,821","82,358",,"214,518","236,512",,"191,228","115,299","56,695",N,N,"64,291","18,107","172,993","92,450",,"27,433","37,252","100,422","117,405","32,739","95,824","39,955","386,345","135,779",,"444,970","50,199","394,771",,"72,253"
"Congressional District 43 (116th Congress), California!!Total!!Margin of Error","±14,722",,"±7,294","±7,620","±6,473","±5,075",,"±10,063","±8,425",,"±10,181","±8,483","±4,790",N,N,"±6,540","±3,217","±9,341","±7,452",,"±2,981","±3,741","±6,497","±6,887","±3,554","±6,771","±3,834","±13,649","±8,403",,"±14,986","±4,625","±15,012",,"±2,583"
"Congressional District 43 (116th Congress), California!!Percent!!Estimate",(X),,24.20%,26.80%,30.80%,18.30%,,47.60%,52.40%,,42.40%,25.60%,12.60%,N,N,14.30%,4.00%,38.40%,20.50%,,6.10%,8.30%,22.30%,26.00%,7.30%,21.20%,8.90%,85.70%,30.10%,,(X),11.30%,88.70%,,(X)
"Congressional District 43 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.4,±1.5,±1.1,±1.0,,±1.3,±1.3,,±1.8,±1.5,±1.1,N,N,±1.4,±0.7,±2.0,±1.5,,±0.7,±0.8,±1.2,±1.3,±0.8,±1.3,±0.8,±1.0,±1.5,,(X),±1.1,±1.1,,(X)
"Congressional District 44 (116th Congress), California!!Total!!Estimate","405,957",,"123,062","101,638","113,343","67,914",,"192,770","213,187",,"172,149","82,028","30,930",N,N,"101,029","13,571","247,877","36,724",,"41,856","47,037","109,599","115,842","26,120","49,411","16,092","317,064","65,503",,"400,089","41,729","358,360",,"63,467"
"Congressional District 44 (116th Congress), California!!Total!!Margin of Error","±12,604",,"±7,263","±6,025","±5,640","±4,871",,"±8,422","±7,954",,"±10,831","±6,657","±4,376",N,N,"±8,409","±2,629","±12,673","±3,717",,"±3,597","±3,789","±6,318","±6,446","±2,475","±3,913","±2,112","±11,190","±4,464",,"±12,759","±3,659","±12,289",,"±2,468"
"Congressional District 44 (116th Congress), California!!Percent!!Estimate",(X),,30.30%,25.00%,27.90%,16.70%,,47.50%,52.50%,,42.40%,20.20%,7.60%,N,N,24.90%,3.30%,61.10%,9.00%,,10.30%,11.60%,27.00%,28.50%,6.40%,12.20%,4.00%,78.10%,16.10%,,(X),10.40%,89.60%,,(X)
"Congressional District 44 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.3,±1.4,±1.0,±1.1,,±1.3,±1.3,,±2.1,±1.5,±1.1,N,N,±1.9,±0.6,±2.0,±1.0,,±0.9,±0.8,±1.2,±1.3,±0.6,±0.9,±0.5,±1.2,±1.1,,(X),±0.9,±0.9,,(X)
"Congressional District 45 (116th Congress), California!!Total!!Estimate","537,433",,"108,512","122,800","188,274","117,847",,"258,994","278,439",,"370,938",N,"115,504",N,N,"17,448","19,352","80,788","312,433",,"7,763","17,332","71,264","122,469","41,765","168,975","107,865","512,338","276,840",,"529,694","38,541","491,153",,"119,822"
"Congressional District 45 (116th Congress), California!!Total!!Margin of Error","±11,396",,"±6,496","±6,346","±6,716","±4,772",,"±6,997","±7,798",,"±9,935",N,"±7,503",N,N,"±3,308","±3,508","±6,315","±9,431",,"±1,541","±2,569","±4,837","±6,392","±3,348","±7,994","±5,034","±11,467","±9,246",,"±11,284","±5,233","±11,714",,"±3,069"
"Congressional District 45 (116th Congress), California!!Percent!!Estimate",(X),,20.20%,22.80%,35.00%,21.90%,,48.20%,51.80%,,69.00%,N,21.50%,N,N,3.20%,3.60%,15.00%,58.10%,,1.40%,3.20%,13.30%,22.80%,7.80%,31.40%,20.10%,95.30%,51.50%,,(X),7.30%,92.70%,,(X)
