Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
"Congressional District 1 (116th Congress), Alabama!!Total!!Estimate","546,223",,"103,499","128,837","183,430","130,457",,"256,090","290,133",,"378,866","145,115","6,015",N,N,N,N,"10,420","372,380",,"12,490","51,840","188,375","120,730","46,909","82,311","43,568","481,893","125,879",,"535,200","69,892","465,308",,"51,076"
"Congressional District 1 (116th Congress), Alabama!!Total!!Margin of Error","±2,958",,"±2,095","±3,180","±2,885","±2,353",,"±2,099","±2,530",,"±3,130","±2,980","±1,239",N,N,N,N,"±1,529","±2,170",,"±2,265","±5,502","±7,772","±5,869","±4,394","±5,171","±4,852","±7,088","±7,136",,"±3,811","±5,925","±6,726",,"±1,500"
"Congressional District 1 (116th Congress), Alabama!!Percent!!Estimate",(X),,18.90%,23.60%,33.60%,23.90%,,46.90%,53.10%,,69.40%,26.60%,1.10%,N,N,N,N,1.90%,68.20%,,2.30%,9.50%,34.50%,22.10%,8.60%,15.10%,8.00%,88.20%,23.00%,,(X),13.10%,86.90%,,(X)
"Congressional District 1 (116th Congress), Alabama!!Percent!!Margin of Error",(X),,±0.4,±0.6,±0.5,±0.4,,±0.3,±0.3,,±0.5,±0.5,±0.2,N,N,N,N,±0.3,±0.4,,±0.4,±1.0,±1.4,±1.0,±0.8,±0.9,±0.9,±1.1,±1.3,,(X),±1.1,±1.1,,(X)
"Congressional District 2 (116th Congress), Alabama!!Total!!Estimate","513,747",,"106,207","121,741","166,199","119,600",,"242,695","271,052",,"334,078",N,"4,129",N,N,"4,901",N,"11,157","326,863",,"17,700","49,827","166,639","124,695","46,293","69,073","39,520","446,220","108,593",,"495,356","68,521","426,835",,"50,764"
"Congressional District 2 (116th Congress), Alabama!!Total!!Margin of Error","±4,847",,"±2,968","±3,897","±3,510","±2,114",,"±3,161","±3,116",,"±3,109",N,±846,N,N,"±1,815",N,"±1,320","±2,828",,"±1,867","±3,796","±6,534","±4,650","±2,889","±4,193","±2,681","±6,749","±4,842",,"±5,439","±5,115","±7,143",,±997
"Congressional District 2 (116th Congress), Alabama!!Percent!!Estimate",(X),,20.70%,23.70%,32.40%,23.30%,,47.20%,52.80%,,65.00%,N,0.80%,N,N,1.00%,N,2.20%,63.60%,,3.40%,9.70%,32.40%,24.30%,9.00%,13.40%,7.70%,86.90%,21.10%,,(X),13.80%,86.20%,,(X)
"Congressional District 2 (116th Congress), Alabama!!Percent!!Margin of Error",(X),,±0.5,±0.7,±0.7,±0.5,,±0.4,±0.4,,±0.9,N,±0.2,N,N,±0.4,N,±0.3,±0.8,,±0.4,±0.8,±1.2,±0.9,±0.6,±0.8,±0.5,±0.9,±0.9,,(X),±1.0,±1.0,,(X)
"Congressional District 3 (116th Congress), Alabama!!Total!!Estimate","550,776",,"119,395","129,092","182,968","119,321",,"262,424","288,352",,"391,932",N,"4,440",N,N,"2,334",N,"9,075","385,715",,"21,167","54,476","171,764","134,640","51,282","69,463","47,984","475,133","117,447",,"532,172","74,898","457,274",,"52,372"
"Congressional District 3 (116th Congress), Alabama!!Total!!Margin of Error","±4,398",,"±3,359","±3,615","±2,980","±1,682",,"±2,757","±2,637",,"±3,008",N,"±1,427",N,N,"±1,098",N,"±1,407","±2,702",,"±3,120","±4,739","±7,283","±6,922","±4,235","±4,847","±3,953","±7,324","±6,242",,"±5,097","±6,955","±9,037",,"±2,134"
"Congressional District 3 (116th Congress), Alabama!!Percent!!Estimate",(X),,21.70%,23.40%,33.20%,21.70%,,47.60%,52.40%,,71.20%,N,0.80%,N,N,0.40%,N,1.60%,70.00%,,3.80%,9.90%,31.20%,24.40%,9.30%,12.60%,8.70%,86.30%,21.30%,,(X),14.10%,85.90%,,(X)
"Congressional District 3 (116th Congress), Alabama!!Percent!!Margin of Error",(X),,±0.6,±0.6,±0.5,±0.3,,±0.3,±0.3,,±0.6,N,±0.3,N,N,±0.2,N,±0.3,±0.6,,±0.6,±0.9,±1.3,±1.2,±0.8,±0.9,±0.7,±1.1,±1.1,,(X),±1.3,±1.3,,(X)
"Congressional District 4 (116th Congress), Alabama!!Total!!Estimate","516,456",,"92,231","117,680","178,627","127,918",,"251,669","264,787",,"460,821",N,"1,447",N,N,"5,420",N,"13,479","452,892",,"20,572","61,145","179,541","123,124","46,557","56,555","28,962","434,739","85,517",,"509,887","67,198","442,689",,"48,231"
"Congressional District 4 (116th Congress), Alabama!!Total!!Margin of Error","±5,170",,"±3,340","±2,800","±3,294","±2,276",,"±3,323","±2,949",,"±5,045",N,±643,N,N,"±1,822",N,"±2,408","±4,741",,"±2,204","±5,595","±6,201","±5,417","±3,790","±4,638","±2,519","±7,598","±5,360",,"±5,333","±5,816","±7,111",,"±1,729"
"Congressional District 4 (116th Congress), Alabama!!Percent!!Estimate",(X),,17.90%,22.80%,34.60%,24.80%,,48.70%,51.30%,,89.20%,N,0.30%,N,N,1.00%,N,2.60%,87.70%,,4.00%,11.80%,34.80%,23.80%,9.00%,11.00%,5.60%,84.20%,16.60%,,(X),13.20%,86.80%,,(X)
"Congressional District 4 (116th Congress), Alabama!!Percent!!Margin of Error",(X),,±0.6,±0.5,±0.5,±0.5,,±0.3,±0.3,,±0.4,N,±0.1,N,N,±0.4,N,±0.5,±0.5,,±0.4,±1.1,±1.2,±1.0,±0.7,±0.9,±0.5,±1.1,±1.0,,(X),±1.1,±1.1,,(X)
"Congressional District 5 (116th Congress), Alabama!!Total!!Estimate","563,216",,"112,593","130,542","195,293","124,788",,"270,465","292,751",,"435,104","103,067","7,693",N,N,"4,114",N,"15,488","424,346",,"14,988","41,465","159,564","127,295","47,394","109,985","62,525","506,763","172,510",,"547,040","62,203","484,837",,"60,139"
"Congressional District 5 (116th Congress), Alabama!!Total!!Margin of Error","±2,892",,"±2,056","±2,172","±2,120","±1,893",,"±1,655","±1,987",,"±2,401","±1,494","±1,224",N,N,"±1,064",N,"±2,171","±1,380",,"±2,372","±3,670","±6,125","±6,201","±3,839","±6,229","±4,194","±4,807","±7,174",,"±3,763","±5,439","±6,271",,"±2,049"
"Congressional District 5 (116th Congress), Alabama!!Percent!!Estimate",(X),,20.00%,23.20%,34.70%,22.20%,,48.00%,52.00%,,77.30%,18.30%,1.40%,N,N,0.70%,N,2.70%,75.30%,,2.70%,7.40%,28.30%,22.60%,8.40%,19.50%,11.10%,90.00%,30.60%,,(X),11.40%,88.60%,,(X)
"Congressional District 5 (116th Congress), Alabama!!Percent!!Margin of Error",(X),,±0.4,±0.4,±0.4,±0.3,,±0.2,±0.2,,±0.3,±0.3,±0.2,N,N,±0.2,N,±0.4,±0.4,,±0.4,±0.7,±1.1,±1.1,±0.7,±1.1,±0.7,±0.8,±1.2,,(X),±1.0,±1.0,,(X)
"Congressional District 6 (116th Congress), Alabama!!Total!!Estimate","527,401",,"97,092","135,940","179,080","115,289",,"250,944","276,457",,"424,691","85,268","6,229",N,N,"2,786",N,"12,977","416,340",,"12,001","33,881","128,972","121,300","39,501","120,653","71,093","481,519","191,746",,"518,703","45,083","473,620",,"70,539"
"Congressional District 6 (116th Congress), Alabama!!Total!!Margin of Error","±7,356",,"±4,194","±4,141","±4,071","±3,247",,"±4,438","±4,938",,"±5,618","±4,622","±1,112",N,N,±939,N,"±2,054","±5,200",,"±1,941","±3,188","±5,803","±6,885","±3,460","±6,412","±5,227","±8,103","±8,704",,"±7,228","±4,370","±7,558",,"±2,863"
"Congressional District 6 (116th Congress), Alabama!!Percent!!Estimate",(X),,18.40%,25.80%,34.00%,21.90%,,47.60%,52.40%,,80.50%,16.20%,1.20%,N,N,0.50%,N,2.50%,78.90%,,2.30%,6.40%,24.50%,23.00%,7.50%,22.90%,13.50%,91.30%,36.40%,,(X),8.70%,91.30%,,(X)
"Congressional District 6 (116th Congress), Alabama!!Percent!!Margin of Error",(X),,±0.7,±0.7,±0.7,±0.6,,±0.6,±0.6,,±0.8,±0.8,±0.2,N,N,±0.2,N,±0.4,±0.9,,±0.4,±0.6,±1.0,±1.2,±0.7,±1.2,±0.9,±0.8,±1.6,,(X),±0.8,±0.8,,(X)
"Congressional District 7 (116th Congress), Alabama!!Total!!Estimate","513,517",,"132,632","111,264","157,939","111,682",,"234,099","279,418",,"184,120","317,604","4,064",N,N,"1,127",N,"8,166","177,655",,"15,321","50,532","184,816","123,583","42,199","60,046","37,020","447,664","97,066",,"490,476","102,472","388,004",,"37,974"
"Congressional District 7 (116th Congress), Alabama!!Total!!Margin of Error","±8,785",,"±4,184","±4,856","±5,117","±3,318",,"±4,613","±6,057",,"±6,585","±6,294","±1,141",N,N,±554,N,"±1,394","±6,445",,"±2,605","±4,934","±8,417","±7,470","±4,090","±5,365","±3,333","±8,640","±6,517",,"±8,693","±8,302","±10,527",,"±1,918"
"Congressional District 7 (116th Congress), Alabama!!Percent!!Estimate",(X),,25.80%,21.70%,30.80%,21.70%,,45.60%,54.40%,,35.90%,61.80%,0.80%,N,N,0.20%,N,1.60%,34.60%,,3.00%,9.80%,36.00%,24.10%,8.20%,11.70%,7.20%,87.20%,18.90%,,(X),20.90%,79.10%,,(X)
"Congressional District 7 (116th Congress), Alabama!!Percent!!Margin of Error",(X),,±0.7,±0.8,±0.9,±0.6,,±0.6,±0.6,,±0.9,±0.9,±0.2,N,N,±0.1,N,±0.3,±1.0,,±0.5,±0.9,±1.6,±1.4,±0.8,±1.0,±0.6,±1.0,±1.3,,(X),±1.6,±1.6,,(X)
"Congressional District (at Large) (116th Congress), Alaska!!Total!!Estimate","533,151",,"123,692","144,125","176,561","88,773",,"278,479","254,672",,"365,703","17,746","26,683",N,"6,247","8,042","30,744","31,764","345,404",,"9,142","28,018","160,911","146,027","44,961","89,372","54,720","495,991","144,092",,"519,473","45,598","473,875",,"75,770"
"Congressional District (at Large) (116th Congress), Alaska!!Total!!Margin of Error","±2,609",,"±3,120","±3,535","±3,579","±1,912",,"±2,343","±2,031",,"±3,158","±1,323","±2,402",N,±659,"±2,390","±3,330","±1,315","±2,490",,"±1,512","±2,457","±6,429","±6,192","±3,276","±4,982","±3,733","±3,828","±5,857",,"±2,621","±4,376","±5,457",,"±2,685"
"Congressional District (at Large) (116th Congress), Alaska!!Percent!!Estimate",(X),,23.20%,27.00%,33.10%,16.70%,,52.20%,47.80%,,68.60%,3.30%,5.00%,N,1.20%,1.50%,5.80%,6.00%,64.80%,,1.70%,5.30%,30.20%,27.40%,8.40%,16.80%,10.30%,93.00%,27.00%,,(X),8.80%,91.20%,,(X)
"Congressional District (at Large) (116th Congress), Alaska!!Percent!!Margin of Error",(X),,±0.5,±0.7,±0.6,±0.4,,±0.3,±0.3,,±0.5,±0.2,±0.4,N,±0.1,±0.4,±0.6,±0.2,±0.4,,±0.3,±0.5,±1.2,±1.2,±0.6,±0.9,±0.7,±0.5,±1.1,,(X),±0.9,±0.9,,(X)
"Congressional District 1 (116th Congress), Arizona!!Total!!Estimate","579,140",,"129,229","123,044","174,583","152,284",,"291,634","287,506",,"387,964",N,"6,450",N,N,"22,568","16,628","106,824","315,129",,"18,701","48,870","155,881","173,817","50,285","79,517","52,069","511,569","131,586",,"549,859","89,352","460,507",,"55,681"
"Congressional District 1 (116th Congress), Arizona!!Total!!Margin of Error","±9,495",,"±4,565","±4,875","±5,857","±5,581",,"±6,295","±5,682",,"±7,449",N,"±1,302",N,N,"±4,253","±2,647","±5,943","±6,702",,"±1,945","±3,419","±6,116","±7,540","±4,197","±5,131","±3,909","±9,542","±6,822",,"±9,882","±5,640","±9,593",,"±2,100"
"Congressional District 1 (116th Congress), Arizona!!Percent!!Estimate",(X),,22.30%,21.20%,30.10%,26.30%,,50.40%,49.60%,,67.00%,N,1.10%,N,N,3.90%,2.90%,18.40%,54.40%,,3.20%,8.40%,26.90%,30.00%,8.70%,13.70%,9.00%,88.30%,22.70%,,(X),16.20%,83.80%,,(X)
"Congressional District 1 (116th Congress), Arizona!!Percent!!Margin of Error",(X),,±0.7,±0.7,±0.8,±0.9,,±0.6,±0.6,,±0.9,N,±0.2,N,N,±0.7,±0.4,±0.9,±0.9,,±0.3,±0.6,±1.0,±1.2,±0.7,±0.8,±0.7,±0.7,±1.1,,(X),±1.0,±1.0,,(X)
"Congressional District 2 (116th Congress), Arizona!!Total!!Estimate","555,917",,"116,494","118,053","162,042","159,328",,"274,252","281,665",,"472,398","22,112","12,278",N,N,"21,507","20,001","131,938","373,553",,"12,660","30,251","125,936","156,540","49,049","108,589","72,892","513,006","181,481",,"541,182","61,143","480,039",,"56,272"
"Congressional District 2 (116th Congress), Arizona!!Total!!Margin of Error","±8,830",,"±5,530","±4,853","±4,885","±3,894",,"±5,549","±5,351",,"±8,402","±2,101","±1,706",N,N,"±3,326","±2,906","±6,566","±6,294",,"±2,203","±3,064","±6,096","±6,499","±3,637","±6,364","±4,204","±8,811","±7,793",,"±8,705","±5,745","±9,482",,"±2,140"
"Congressional District 2 (116th Congress), Arizona!!Percent!!Estimate",(X),,21.00%,21.20%,29.10%,28.70%,,49.30%,50.70%,,85.00%,4.00%,2.20%,N,N,3.90%,3.60%,23.70%,67.20%,,2.30%,5.40%,22.70%,28.20%,8.80%,19.50%,13.10%,92.30%,32.60%,,(X),11.30%,88.70%,,(X)
"Congressional District 2 (116th Congress), Arizona!!Percent!!Margin of Error",(X),,±0.9,±0.7,±0.8,±0.8,,±0.6,±0.6,,±0.9,±0.4,±0.3,N,N,±0.6,±0.5,±1.0,±1.0,,±0.4,±0.5,±1.0,±1.0,±0.7,±1.1,±0.7,±0.7,±1.3,,(X),±1.0,±1.0,,(X)
"Congressional District 3 (116th Congress), Arizona!!Total!!Estimate","498,408",,"146,431","123,292","142,111","86,574",,"252,613","245,795",,"373,307","23,553","8,418","24,425",N,"49,455","18,575","276,308","165,127",,"28,922","52,672","156,940","137,216","42,935","52,134","27,589","416,814","79,723",,"474,765","63,835","410,930",,"56,099"
"Congressional District 3 (116th Congress), Arizona!!Total!!Margin of Error","±13,503",,"±8,036","±6,610","±6,489","±4,491",,"±9,259","±7,187",,"±12,553","±3,593","±1,705","±3,064",N,"±5,644","±3,046","±11,000","±8,150",,"±2,993","±4,836","±10,298","±7,125","±4,758","±4,344","±3,046","±12,933","±4,743",,"±13,535","±4,451","±13,730",,"±1,937"
"Congressional District 3 (116th Congress), Arizona!!Percent!!Estimate",(X),,29.40%,24.70%,28.50%,17.40%,,50.70%,49.30%,,74.90%,4.70%,1.70%,4.90%,N,9.90%,3.70%,55.40%,33.10%,,5.80%,10.60%,31.50%,27.50%,8.60%,10.50%,5.50%,83.60%,16.00%,,(X),13.40%,86.60%,,(X)
"Congressional District 3 (116th Congress), Arizona!!Percent!!Margin of Error",(X),,±1.3,±1.2,±1.0,±0.8,,±1.0,±1.0,,±1.3,±0.7,±0.3,±0.6,N,±1.1,±0.6,±1.5,±1.5,,±0.6,±0.9,±1.6,±1.4,±0.9,±0.9,±0.6,±1.1,±1.0,,(X),±1.0,±1.0,,(X)
"Congressional District 4 (116th Congress), Arizona!!Total!!Estimate","646,034",,"97,826","121,559","200,787","225,862",,"326,716","319,318",,"580,716",N,"5,614",N,N,"19,605","14,152","103,367","503,192",,"14,103","55,031","195,753","196,859","55,442","82,793","46,053","576,900","128,846",,"622,305","67,532","554,773",,"55,247"
"Congressional District 4 (116th Congress), Arizona!!Total!!Margin of Error","±11,159",,"±5,357","±5,455","±6,265","±4,794",,"±6,859","±6,335",,"±9,997",N,"±1,107",N,N,"±4,528","±2,919","±7,811","±6,910",,"±2,923","±5,365","±8,489","±8,240","±5,059","±5,451","±3,828","±11,884","±6,380",,"±12,058","±6,055","±11,979",,"±2,086"
"Congressional District 4 (116th Congress), Arizona!!Percent!!Estimate",(X),,15.10%,18.80%,31.10%,35.00%,,50.60%,49.40%,,89.90%,N,0.90%,N,N,3.00%,2.20%,16.00%,77.90%,,2.20%,8.50%,30.30%,30.50%,8.60%,12.80%,7.10%,89.30%,19.90%,,(X),10.90%,89.10%,,(X)
"Congressional District 4 (116th Congress), Arizona!!Percent!!Margin of Error",(X),,±0.7,±0.7,±0.8,±0.8,,±0.5,±0.5,,±1.1,N,±0.2,N,N,±0.7,±0.4,±1.0,±1.1,,±0.5,±0.8,±1.3,±1.2,±0.7,±0.8,±0.6,±0.9,±0.9,,(X),±0.9,±0.9,,(X)
"Congressional District 5 (116th Congress), Arizona!!Total!!Estimate","601,179",,"108,644","151,762","199,175","141,598",,"292,353","308,826",,"514,657","25,420","25,287",N,N,"15,243","12,814","79,452","455,276",,"8,312","28,052","132,308","160,773","58,652","144,843","68,239","564,815","213,082",,"599,417","35,152","564,265",,"83,567"
"Congressional District 5 (116th Congress), Arizona!!Total!!Margin of Error","±11,528",,"±6,435","±6,139","±7,486","±5,772",,"±7,501","±7,131",,"±11,919","±4,026","±4,321",N,N,"±3,512","±2,141","±6,202","±11,629",,"±1,621","±3,252","±5,671","±6,769","±3,843","±5,438","±4,361","±10,912","±6,833",,"±11,491","±3,922","±11,618",,"±3,564"
"Congressional District 5 (116th Congress), Arizona!!Percent!!Estimate",(X),,18.10%,25.20%,33.10%,23.60%,,48.60%,51.40%,,85.60%,4.20%,4.20%,N,N,2.50%,2.10%,13.20%,75.70%,,1.40%,4.70%,22.00%,26.70%,9.80%,24.10%,11.40%,94.00%,35.40%,,(X),5.90%,94.10%,,(X)
"Congressional District 5 (116th Congress), Arizona!!Percent!!Margin of Error",(X),,±0.9,±1.0,±1.1,±0.9,,±0.8,±0.8,,±1.3,±0.7,±0.7,N,N,±0.6,±0.3,±1.0,±1.4,,±0.3,±0.5,±0.9,±0.9,±0.6,±0.8,±0.7,±0.6,±1.1,,(X),±0.6,±0.6,,(X)
"Congressional District 6 (116th Congress), Arizona!!Total!!Estimate","603,700",,"101,763","127,666","216,750","157,521",,"290,624","313,076",,"522,401","19,697","19,535",N,N,"14,125","15,708","75,651","465,316",,"12,428","31,095","115,826","143,103","49,854","154,784","96,610","560,177","251,394",,"601,814","46,153","555,661",,"76,982"
"Congressional District 6 (116th Congress), Arizona!!Total!!Margin of Error","±12,187",,"±7,672","±6,331","±7,140","±5,922",,"±8,106","±7,717",,"±11,747","±3,640","±3,024",N,N,"±3,672","±2,717","±8,099","±10,263",,"±2,784","±4,103","±5,971","±7,478","±3,891","±6,492","±5,451","±12,416","±8,287",,"±12,205","±5,255","±12,860",,"±2,347"
"Congressional District 6 (116th Congress), Arizona!!Percent!!Estimate",(X),,16.90%,21.10%,35.90%,26.10%,,48.10%,51.90%,,86.50%,3.30%,3.20%,N,N,2.30%,2.60%,12.50%,77.10%,,2.10%,5.20%,19.20%,23.70%,8.30%,25.60%,16.00%,92.80%,41.60%,,(X),7.70%,92.30%,,(X)
"Congressional District 6 (116th Congress), Arizona!!Percent!!Margin of Error",(X),,±1.1,±1.0,±1.0,±1.0,,±0.8,±0.8,,±1.1,±0.6,±0.5,N,N,±0.6,±0.4,±1.3,±1.4,,±0.5,±0.7,±0.9,±1.0,±0.6,±1.0,±0.9,±0.9,±1.3,,(X),±0.9,±0.9,,(X)
"Congressional District 7 (116th Congress), Arizona!!Total!!Estimate","472,749",,"146,488","131,822","130,601","63,838",,"233,447","239,302",,"340,049","51,551","13,386",N,N,"33,906","16,762","243,294","144,563",,"34,643","58,278","150,432","115,911","31,807","58,020","23,658","379,828","81,678",,"464,181","77,525","386,656",,"51,297"
"Congressional District 7 (116th Congress), Arizona!!Total!!Margin of Error","±16,671",,"±8,781","±8,161","±7,114","±4,691",,"±10,078","±10,112",,"±14,798","±6,133","±3,029",N,N,"±5,066","±2,642","±11,904","±8,995",,"±3,915","±6,045","±9,042","±6,768","±3,498","±4,810","±3,148","±14,031","±5,772",,"±16,444","±5,778","±16,292",,"±1,556"
"Congressional District 7 (116th Congress), Arizona!!Percent!!Estimate",(X),,31.00%,27.90%,27.60%,13.50%,,49.40%,50.60%,,71.90%,10.90%,2.80%,N,N,7.20%,3.50%,51.50%,30.60%,,7.30%,12.30%,31.80%,24.50%,6.70%,12.30%,5.00%,80.30%,17.30%,,(X),16.70%,83.30%,,(X)
"Congressional District 7 (116th Congress), Arizona!!Percent!!Margin of Error",(X),,±1.4,±1.4,±1.1,±1.0,,±1.2,±1.2,,±1.8,±1.2,±0.6,N,N,±1.0,±0.6,±1.7,±1.6,,±0.8,±1.2,±1.3,±1.3,±0.7,±0.9,±0.7,±1.2,±1.1,,(X),±1.3,±1.3,,(X)
"Congressional District 8 (116th Congress), Arizona!!Total!!Estimate","595,539",,"97,853","133,744","188,600","175,342",,"280,767","314,772",,"510,657","25,449","18,158",N,N,"16,924",N,"101,671","433,636",,"14,713","31,174","145,060","164,448","62,395","113,758","63,991","549,652","177,749",,"585,377","47,757","537,620",,"74,367"
"Congressional District 8 (116th Congress), Arizona!!Total!!Margin of Error","±11,156",,"±5,868","±6,200","±7,483","±6,625",,"±7,780","±6,502",,"±11,490","±4,198","±2,842",N,N,"±3,131",N,"±8,472","±10,817",,"±2,859","±3,606","±8,148","±6,140","±3,748","±5,154","±4,304","±10,980","±6,050",,"±11,109","±5,194","±10,344",,"±3,592"
"Congressional District 8 (116th Congress), Arizona!!Percent!!Estimate",(X),,16.40%,22.50%,31.70%,29.40%,,47.10%,52.90%,,85.70%,4.30%,3.00%,N,N,2.80%,N,17.10%,72.80%,,2.50%,5.20%,24.40%,27.60%,10.50%,19.10%,10.70%,92.30%,29.80%,,(X),8.20%,91.80%,,(X)
"Congressional District 8 (116th Congress), Arizona!!Percent!!Margin of Error",(X),,±0.9,±1.0,±1.0,±1.1,,±0.8,±0.8,,±1.2,±0.7,±0.5,N,N,±0.5,N,±1.4,±1.4,,±0.5,±0.6,±1.2,±0.9,±0.6,±0.9,±0.7,±0.7,±1.0,,(X),±0.8,±0.8,,(X)
"Congressional District 9 (116th Congress), Arizona!!Total!!Estimate","584,808",,"173,544","155,860","158,849","96,555",,"291,525","293,283",,"464,796","44,246","17,947",N,N,"20,372","16,037","113,071","379,586",,"11,272","27,473","115,695","159,412","46,118","147,512","77,326","546,063","224,838",,"572,079","59,214","512,865",,"67,034"
"Congressional District 9 (116th Congress), Arizona!!Total!!Margin of Error","±12,263",,"±8,208","±7,999","±6,068","±5,032",,"±8,630","±8,617",,"±10,158","±5,691","±2,870",N,N,"±3,905","±2,525","±8,296","±10,216",,"±2,262","±3,785","±5,681","±8,194","±4,042","±6,511","±4,665","±10,915","±8,497",,"±12,389","±5,801","±12,671",,"±1,815"
"Congressional District 9 (116th Congress), Arizona!!Percent!!Estimate",(X),,29.70%,26.70%,27.20%,16.50%,,49.80%,50.20%,,79.50%,7.60%,3.10%,N,N,3.50%,2.70%,19.30%,64.90%,,1.90%,4.70%,19.80%,27.30%,7.90%,25.20%,13.20%,93.40%,38.40%,,(X),10.40%,89.60%,,(X)
"Congressional District 9 (116th Congress), Arizona!!Percent!!Margin of Error",(X),,±1.2,±1.3,±0.9,±0.8,,±1.0,±1.0,,±1.3,±0.9,±0.5,N,N,±0.7,±0.4,±1.3,±1.5,,±0.4,±0.6,±1.0,±1.2,±0.7,±1.0,±0.8,±0.7,±1.3,,(X),±1.0,±1.0,,(X)
"Congressional District 1 (116th Congress), Arkansas!!Total!!Estimate","548,521",,"104,202","130,880","181,236","132,203",,"268,993","279,528",,"435,651",N,N,N,N,"3,871",N,"13,178","428,227",,"23,277","50,063","221,456","131,214","39,141","56,886","26,484","475,181","83,370",,"523,849","79,580","444,269",,"43,268"
"Congressional District 1 (116th Congress), Arkansas!!Total!!Margin of Error","±3,466",,"±2,224","±3,485","±3,529","±1,834",,"±2,712","±2,265",,"±3,083",N,N,N,N,"±1,401",N,"±1,750","±2,547",,"±2,261","±4,558","±5,979","±5,621","±3,139","±3,601","±2,567","±5,515","±4,423",,"±3,568","±5,271","±6,571",,"±1,675"
"Congressional District 1 (116th Congress), Arkansas!!Percent!!Estimate",(X),,19.00%,23.90%,33.00%,24.10%,,49.00%,51.00%,,79.40%,N,N,N,N,0.70%,N,2.40%,78.10%,,4.20%,9.10%,40.40%,23.90%,7.10%,10.40%,4.80%,86.60%,15.20%,,(X),15.20%,84.80%,,(X)
"Congressional District 1 (116th Congress), Arkansas!!Percent!!Margin of Error",(X),,±0.4,±0.6,±0.6,±0.3,,±0.3,±0.3,,±0.4,N,N,N,N,±0.3,N,±0.3,±0.4,,±0.4,±0.8,±1.1,±1.0,±0.6,±0.6,±0.5,±0.8,±0.8,,(X),±1.0,±1.0,,(X)
"Congressional District 2 (116th Congress), Arkansas!!Total!!Estimate","576,874",,"124,697","140,322","185,045","126,810",,"271,823","305,051",,"423,779","131,844","6,639",N,N,"4,755",N,"15,218","414,085",,"14,290","40,926","177,484","137,425","47,970","103,605","55,174","521,658","158,779",,"562,079","73,990","488,089",,"54,268"
"Congressional District 2 (116th Congress), Arkansas!!Total!!Margin of Error","±2,705",,"±2,290","±2,335","±2,428","±1,754",,"±2,173","±1,547",,"±2,288","±1,814","±1,311",N,N,"±1,671",N,"±2,016","±1,580",,"±2,525","±3,930","±6,828","±6,036","±4,342","±5,817","±4,007","±5,209","±7,250",,"±3,211","±5,281","±5,369",,"±2,353"
"Congressional District 2 (116th Congress), Arkansas!!Percent!!Estimate",(X),,21.60%,24.30%,32.10%,22.00%,,47.10%,52.90%,,73.50%,22.90%,1.20%,N,N,0.80%,N,2.60%,71.80%,,2.50%,7.10%,30.80%,23.80%,8.30%,18.00%,9.60%,90.40%,27.50%,,(X),13.20%,86.80%,,(X)
"Congressional District 2 (116th Congress), Arkansas!!Percent!!Margin of Error",(X),,±0.4,±0.4,±0.4,±0.3,,±0.2,±0.2,,±0.3,±0.3,±0.2,N,N,±0.3,N,±0.3,±0.4,,±0.4,±0.7,±1.2,±1.0,±0.8,±1.0,±0.7,±0.8,±1.2,,(X),±0.9,±0.9,,(X)
"Congressional District 3 (116th Congress), Arkansas!!Total!!Estimate","579,984",,"133,418","144,219","179,203","123,144",,"280,459","299,525",,"514,422",N,"12,124",N,"1,020","12,159",N,"45,101","483,737",,"19,159","41,664","175,924","145,471","40,418","104,740","52,608","519,161","157,348",,"564,172","73,379","490,793",,"54,563"
"Congressional District 3 (116th Congress), Arkansas!!Total!!Margin of Error","±4,340",,"±2,588","±3,226","±2,973","±2,158",,"±3,456","±3,030",,"±4,452",N,"±1,602",N,±835,"±2,798",N,"±3,387","±2,922",,"±2,723","±4,077","±7,320","±6,334","±3,255","±5,722","±3,887","±6,343","±6,586",,"±4,924","±5,981","±7,300",,"±2,038"
"Congressional District 3 (116th Congress), Arkansas!!Percent!!Estimate",(X),,23.00%,24.90%,30.90%,21.20%,,48.40%,51.60%,,88.70%,N,2.10%,N,0.20%,2.10%,N,7.80%,83.40%,,3.30%,7.20%,30.30%,25.10%,7.00%,18.10%,9.10%,89.50%,27.10%,,(X),13.00%,87.00%,,(X)
