Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
0101_!!Total!!Estimate,546223,,103499,128837,183430,130457,,256090,290133,,378866,145115,6015,N,N,N,N,10420,372380,,12490,51840,188375,120730,46909,82311,43568,481893,125879,,535200,69892,465308,,51076
0101_!!Total!!Margin of Error,±2958,,±2095,±3180,±2885,±2353,,±2099,±2530,,±3130,±2980,±1239,N,N,N,N,±1529,±2170,,±2265,±5502,±7772,±5869,±4394,±5171,±4852,±7088,±7136,,±3811,±5925,±6726,,±1500
0101_!!Percent!!Estimate,(X),,18.90%,23.60%,33.60%,23.90%,,46.90%,53.10%,,69.40%,26.60%,1.10%,N,N,N,N,1.90%,68.20%,,2.30%,9.50%,34.50%,22.10%,8.60%,15.10%,8.00%,88.20%,23.00%,,(X),13.10%,86.90%,,(X)
0101_!!Percent!!Margin of Error,(X),,±0.4,±0.6,±0.5,±0.4,,±0.3,±0.3,,±0.5,±0.5,±0.2,N,N,N,N,±0.3,±0.4,,±0.4,±1.0,±1.4,±1.0,±0.8,±0.9,±0.9,±1.1,±1.3,,(X),±1.1,±1.1,,(X)
0102_!!Total!!Estimate,513747,,106207,121741,166199,119600,,242695,271052,,334078,N,4129,N,N,4901,N,11157,326863,,17700,49827,166639,124695,46293,69073,39520,446220,108593,,495356,68521,426835,,50764
0102_!!Total!!Margin of Error,±4847,,±2968,±3897,±3510,±2114,,±3161,±3116,,±3109,N,±846,N,N,±1815,N,±1320,±2828,,±1867,±3796,±6534,±4650,±2889,±4193,±2681,±6749,±4842,,±5439,±5115,±7143,,±997
0102_!!Percent!!Estimate,(X),,20.70%,23.70%,32.40%,23.30%,,47.20%,52.80%,,65.00%,N,0.80%,N,N,1.00%,N,2.20%,63.60%,,3.40%,9.70%,32.40%,24.30%,9.00%,13.40%,7.70%,86.90%,21.10%,,(X),13.80%,86.20%,,(X)
0102_!!Percent!!Margin of Error,(X),,±0.5,±0.7,±0.7,±0.5,,±0.4,±0.4,,±0.9,N,±0.2,N,N,±0.4,N,±0.3,±0.8,,±0.4,±0.8,±1.2,±0.9,±0.6,±0.8,±0.5,±0.9,±0.9,,(X),±1.0,±1.0,,(X)
0103_!!Total!!Estimate,550776,,119395,129092,182968,119321,,262424,288352,,391932,N,4440,N,N,2334,N,9075,385715,,21167,54476,171764,134640,51282,69463,47984,475133,117447,,532172,74898,457274,,52372
0103_!!Total!!Margin of Error,±4398,,±3359,±3615,±2980,±1682,,±2757,±2637,,±3008,N,±1427,N,N,±1098,N,±1407,±2702,,±3120,±4739,±7283,±6922,±4235,±4847,±3953,±7324,±6242,,±5097,±6955,±9037,,±2134
0103_!!Percent!!Estimate,(X),,21.70%,23.40%,33.20%,21.70%,,47.60%,52.40%,,71.20%,N,0.80%,N,N,0.40%,N,1.60%,70.00%,,3.80%,9.90%,31.20%,24.40%,9.30%,12.60%,8.70%,86.30%,21.30%,,(X),14.10%,85.90%,,(X)
0103_!!Percent!!Margin of Error,(X),,±0.6,±0.6,±0.5,±0.3,,±0.3,±0.3,,±0.6,N,±0.3,N,N,±0.2,N,±0.3,±0.6,,±0.6,±0.9,±1.3,±1.2,±0.8,±0.9,±0.7,±1.1,±1.1,,(X),±1.3,±1.3,,(X)
0104_!!Total!!Estimate,516456,,92231,117680,178627,127918,,251669,264787,,460821,N,1447,N,N,5420,N,13479,452892,,20572,61145,179541,123124,46557,56555,28962,434739,85517,,509887,67198,442689,,48231
0104_!!Total!!Margin of Error,±5170,,±3340,±2800,±3294,±2276,,±3323,±2949,,±5045,N,±643,N,N,±1822,N,±2408,±4741,,±2204,±5595,±6201,±5417,±3790,±4638,±2519,±7598,±5360,,±5333,±5816,±7111,,±1729
0104_!!Percent!!Estimate,(X),,17.90%,22.80%,34.60%,24.80%,,48.70%,51.30%,,89.20%,N,0.30%,N,N,1.00%,N,2.60%,87.70%,,4.00%,11.80%,34.80%,23.80%,9.00%,11.00%,5.60%,84.20%,16.60%,,(X),13.20%,86.80%,,(X)
0104_!!Percent!!Margin of Error,(X),,±0.6,±0.5,±0.5,±0.5,,±0.3,±0.3,,±0.4,N,±0.1,N,N,±0.4,N,±0.5,±0.5,,±0.4,±1.1,±1.2,±1.0,±0.7,±0.9,±0.5,±1.1,±1.0,,(X),±1.1,±1.1,,(X)
0105_!!Total!!Estimate,563216,,112593,130542,195293,124788,,270465,292751,,435104,103067,7693,N,N,4114,N,15488,424346,,14988,41465,159564,127295,47394,109985,62525,506763,172510,,547040,62203,484837,,60139
0105_!!Total!!Margin of Error,±2892,,±2056,±2172,±2120,±1893,,±1655,±1987,,±2401,±1494,±1224,N,N,±1064,N,±2171,±1380,,±2372,±3670,±6125,±6201,±3839,±6229,±4194,±4807,±7174,,±3763,±5439,±6271,,±2049
0105_!!Percent!!Estimate,(X),,20.00%,23.20%,34.70%,22.20%,,48.00%,52.00%,,77.30%,18.30%,1.40%,N,N,0.70%,N,2.70%,75.30%,,2.70%,7.40%,28.30%,22.60%,8.40%,19.50%,11.10%,90.00%,30.60%,,(X),11.40%,88.60%,,(X)
0105_!!Percent!!Margin of Error,(X),,±0.4,±0.4,±0.4,±0.3,,±0.2,±0.2,,±0.3,±0.3,±0.2,N,N,±0.2,N,±0.4,±0.4,,±0.4,±0.7,±1.1,±1.1,±0.7,±1.1,±0.7,±0.8,±1.2,,(X),±1.0,±1.0,,(X)
0106_!!Total!!Estimate,527401,,97092,135940,179080,115289,,250944,276457,,424691,85268,6229,N,N,2786,N,12977,416340,,12001,33881,128972,121300,39501,120653,71093,481519,191746,,518703,45083,473620,,70539
0106_!!Total!!Margin of Error,±7356,,±4194,±4141,±4071,±3247,,±4438,±4938,,±5618,±4622,±1112,N,N,±939,N,±2054,±5200,,±1941,±3188,±5803,±6885,±3460,±6412,±5227,±8103,±8704,,±7228,±4370,±7558,,±2863
0106_!!Percent!!Estimate,(X),,18.40%,25.80%,34.00%,21.90%,,47.60%,52.40%,,80.50%,16.20%,1.20%,N,N,0.50%,N,2.50%,78.90%,,2.30%,6.40%,24.50%,23.00%,7.50%,22.90%,13.50%,91.30%,36.40%,,(X),8.70%,91.30%,,(X)
0106_!!Percent!!Margin of Error,(X),,±0.7,±0.7,±0.7,±0.6,,±0.6,±0.6,,±0.8,±0.8,±0.2,N,N,±0.2,N,±0.4,±0.9,,±0.4,±0.6,±1.0,±1.2,±0.7,±1.2,±0.9,±0.8,±1.6,,(X),±0.8,±0.8,,(X)
0107_!!Total!!Estimate,513517,,132632,111264,157939,111682,,234099,279418,,184120,317604,4064,N,N,1127,N,8166,177655,,15321,50532,184816,123583,42199,60046,37020,447664,97066,,490476,102472,388004,,37974
0107_!!Total!!Margin of Error,±8785,,±4184,±4856,±5117,±3318,,±4613,±6057,,±6585,±6294,±1141,N,N,±554,N,±1394,±6445,,±2605,±4934,±8417,±7470,±4090,±5365,±3333,±8640,±6517,,±8693,±8302,±10527,,±1918
0107_!!Percent!!Estimate,(X),,25.80%,21.70%,30.80%,21.70%,,45.60%,54.40%,,35.90%,61.80%,0.80%,N,N,0.20%,N,1.60%,34.60%,,3.00%,9.80%,36.00%,24.10%,8.20%,11.70%,7.20%,87.20%,18.90%,,(X),20.90%,79.10%,,(X)
0107_!!Percent!!Margin of Error,(X),,±0.7,±0.8,±0.9,±0.6,,±0.6,±0.6,,±0.9,±0.9,±0.2,N,N,±0.1,N,±0.3,±1.0,,±0.5,±0.9,±1.6,±1.4,±0.8,±1.0,±0.6,±1.0,±1.3,,(X),±1.6,±1.6,,(X)
02(at Large)_!!Total!!Estimate,533151,,123692,144125,176561,88773,,278479,254672,,365703,17746,26683,N,6247,8042,30744,31764,345404,,9142,28018,160911,146027,44961,89372,54720,495991,144092,,519473,45598,473875,,75770
02(at Large)_!!Total!!Margin of Error,±2609,,±3120,±3535,±3579,±1912,,±2343,±2031,,±3158,±1323,±2402,N,±659,±2390,±3330,±1315,±2490,,±1512,±2457,±6429,±6192,±3276,±4982,±3733,±3828,±5857,,±2621,±4376,±5457,,±2685
02(at Large)_!!Percent!!Estimate,(X),,23.20%,27.00%,33.10%,16.70%,,52.20%,47.80%,,68.60%,3.30%,5.00%,N,1.20%,1.50%,5.80%,6.00%,64.80%,,1.70%,5.30%,30.20%,27.40%,8.40%,16.80%,10.30%,93.00%,27.00%,,(X),8.80%,91.20%,,(X)
02(at Large)_!!Percent!!Margin of Error,(X),,±0.5,±0.7,±0.6,±0.4,,±0.3,±0.3,,±0.5,±0.2,±0.4,N,±0.1,±0.4,±0.6,±0.2,±0.4,,±0.3,±0.5,±1.2,±1.2,±0.6,±0.9,±0.7,±0.5,±1.1,,(X),±0.9,±0.9,,(X)
0401_!!Total!!Estimate,579140,,129229,123044,174583,152284,,291634,287506,,387964,N,6450,N,N,22568,16628,106824,315129,,18701,48870,155881,173817,50285,79517,52069,511569,131586,,549859,89352,460507,,55681
0401_!!Total!!Margin of Error,±9495,,±4565,±4875,±5857,±5581,,±6295,±5682,,±7449,N,±1302,N,N,±4253,±2647,±5943,±6702,,±1945,±3419,±6116,±7540,±4197,±5131,±3909,±9542,±6822,,±9882,±5640,±9593,,±2100
0401_!!Percent!!Estimate,(X),,22.30%,21.20%,30.10%,26.30%,,50.40%,49.60%,,67.00%,N,1.10%,N,N,3.90%,2.90%,18.40%,54.40%,,3.20%,8.40%,26.90%,30.00%,8.70%,13.70%,9.00%,88.30%,22.70%,,(X),16.20%,83.80%,,(X)
0401_!!Percent!!Margin of Error,(X),,±0.7,±0.7,±0.8,±0.9,,±0.6,±0.6,,±0.9,N,±0.2,N,N,±0.7,±0.4,±0.9,±0.9,,±0.3,±0.6,±1.0,±1.2,±0.7,±0.8,±0.7,±0.7,±1.1,,(X),±1.0,±1.0,,(X)
0402_!!Total!!Estimate,555917,,116494,118053,162042,159328,,274252,281665,,472398,22112,12278,N,N,21507,20001,131938,373553,,12660,30251,125936,156540,49049,108589,72892,513006,181481,,541182,61143,480039,,56272
0402_!!Total!!Margin of Error,±8830,,±5530,±4853,±4885,±3894,,±5549,±5351,,±8402,±2101,±1706,N,N,±3326,±2906,±6566,±6294,,±2203,±3064,±6096,±6499,±3637,±6364,±4204,±8811,±7793,,±8705,±5745,±9482,,±2140
0402_!!Percent!!Estimate,(X),,21.00%,21.20%,29.10%,28.70%,,49.30%,50.70%,,85.00%,4.00%,2.20%,N,N,3.90%,3.60%,23.70%,67.20%,,2.30%,5.40%,22.70%,28.20%,8.80%,19.50%,13.10%,92.30%,32.60%,,(X),11.30%,88.70%,,(X)
0402_!!Percent!!Margin of Error,(X),,±0.9,±0.7,±0.8,±0.8,,±0.6,±0.6,,±0.9,±0.4,±0.3,N,N,±0.6,±0.5,±1.0,±1.0,,±0.4,±0.5,±1.0,±1.0,±0.7,±1.1,±0.7,±0.7,±1.3,,(X),±1.0,±1.0,,(X)
0403_!!Total!!Estimate,498408,,146431,123292,142111,86574,,252613,245795,,373307,23553,8418,24425,N,49455,18575,276308,165127,,28922,52672,156940,137216,42935,52134,27589,416814,79723,,474765,63835,410930,,56099
0403_!!Total!!Margin of Error,±13503,,±8036,±6610,±6489,±4491,,±9259,±7187,,±12553,±3593,±1705,±3064,N,±5644,±3046,±11000,±8150,,±2993,±4836,±10298,±7125,±4758,±4344,±3046,±12933,±4743,,±13535,±4451,±13730,,±1937
0403_!!Percent!!Estimate,(X),,29.40%,24.70%,28.50%,17.40%,,50.70%,49.30%,,74.90%,4.70%,1.70%,4.90%,N,9.90%,3.70%,55.40%,33.10%,,5.80%,10.60%,31.50%,27.50%,8.60%,10.50%,5.50%,83.60%,16.00%,,(X),13.40%,86.60%,,(X)
0403_!!Percent!!Margin of Error,(X),,±1.3,±1.2,±1.0,±0.8,,±1.0,±1.0,,±1.3,±0.7,±0.3,±0.6,N,±1.1,±0.6,±1.5,±1.5,,±0.6,±0.9,±1.6,±1.4,±0.9,±0.9,±0.6,±1.1,±1.0,,(X),±1.0,±1.0,,(X)
0404_!!Total!!Estimate,646034,,97826,121559,200787,225862,,326716,319318,,580716,N,5614,N,N,19605,14152,103367,503192,,14103,55031,195753,196859,55442,82793,46053,576900,128846,,622305,67532,554773,,55247
0404_!!Total!!Margin of Error,±11159,,±5357,±5455,±6265,±4794,,±6859,±6335,,±9997,N,±1107,N,N,±4528,±2919,±7811,±6910,,±2923,±5365,±8489,±8240,±5059,±5451,±3828,±11884,±6380,,±12058,±6055,±11979,,±2086
0404_!!Percent!!Estimate,(X),,15.10%,18.80%,31.10%,35.00%,,50.60%,49.40%,,89.90%,N,0.90%,N,N,3.00%,2.20%,16.00%,77.90%,,2.20%,8.50%,30.30%,30.50%,8.60%,12.80%,7.10%,89.30%,19.90%,,(X),10.90%,89.10%,,(X)
0404_!!Percent!!Margin of Error,(X),,±0.7,±0.7,±0.8,±0.8,,±0.5,±0.5,,±1.1,N,±0.2,N,N,±0.7,±0.4,±1.0,±1.1,,±0.5,±0.8,±1.3,±1.2,±0.7,±0.8,±0.6,±0.9,±0.9,,(X),±0.9,±0.9,,(X)
0405_!!Total!!Estimate,601179,,108644,151762,199175,141598,,292353,308826,,514657,25420,25287,N,N,15243,12814,79452,455276,,8312,28052,132308,160773,58652,144843,68239,564815,213082,,599417,35152,564265,,83567
0405_!!Total!!Margin of Error,±11528,,±6435,±6139,±7486,±5772,,±7501,±7131,,±11919,±4026,±4321,N,N,±3512,±2141,±6202,±11629,,±1621,±3252,±5671,±6769,±3843,±5438,±4361,±10912,±6833,,±11491,±3922,±11618,,±3564
0405_!!Percent!!Estimate,(X),,18.10%,25.20%,33.10%,23.60%,,48.60%,51.40%,,85.60%,4.20%,4.20%,N,N,2.50%,2.10%,13.20%,75.70%,,1.40%,4.70%,22.00%,26.70%,9.80%,24.10%,11.40%,94.00%,35.40%,,(X),5.90%,94.10%,,(X)
0405_!!Percent!!Margin of Error,(X),,±0.9,±1.0,±1.1,±0.9,,±0.8,±0.8,,±1.3,±0.7,±0.7,N,N,±0.6,±0.3,±1.0,±1.4,,±0.3,±0.5,±0.9,±0.9,±0.6,±0.8,±0.7,±0.6,±1.1,,(X),±0.6,±0.6,,(X)
0406_!!Total!!Estimate,603700,,101763,127666,216750,157521,,290624,313076,,522401,19697,19535,N,N,14125,15708,75651,465316,,12428,31095,115826,143103,49854,154784,96610,560177,251394,,601814,46153,555661,,76982
0406_!!Total!!Margin of Error,±12187,,±7672,±6331,±7140,±5922,,±8106,±7717,,±11747,±3640,±3024,N,N,±3672,±2717,±8099,±10263,,±2784,±4103,±5971,±7478,±3891,±6492,±5451,±12416,±8287,,±12205,±5255,±12860,,±2347
0406_!!Percent!!Estimate,(X),,16.90%,21.10%,35.90%,26.10%,,48.10%,51.90%,,86.50%,3.30%,3.20%,N,N,2.30%,2.60%,12.50%,77.10%,,2.10%,5.20%,19.20%,23.70%,8.30%,25.60%,16.00%,92.80%,41.60%,,(X),7.70%,92.30%,,(X)
0406_!!Percent!!Margin of Error,(X),,±1.1,±1.0,±1.0,±1.0,,±0.8,±0.8,,±1.1,±0.6,±0.5,N,N,±0.6,±0.4,±1.3,±1.4,,±0.5,±0.7,±0.9,±1.0,±0.6,±1.0,±0.9,±0.9,±1.3,,(X),±0.9,±0.9,,(X)
0407_!!Total!!Estimate,472749,,146488,131822,130601,63838,,233447,239302,,340049,51551,13386,N,N,33906,16762,243294,144563,,34643,58278,150432,115911,31807,58020,23658,379828,81678,,464181,77525,386656,,51297
0407_!!Total!!Margin of Error,±16671,,±8781,±8161,±7114,±4691,,±10078,±10112,,±14798,±6133,±3029,N,N,±5066,±2642,±11904,±8995,,±3915,±6045,±9042,±6768,±3498,±4810,±3148,±14031,±5772,,±16444,±5778,±16292,,±1556
0407_!!Percent!!Estimate,(X),,31.00%,27.90%,27.60%,13.50%,,49.40%,50.60%,,71.90%,10.90%,2.80%,N,N,7.20%,3.50%,51.50%,30.60%,,7.30%,12.30%,31.80%,24.50%,6.70%,12.30%,5.00%,80.30%,17.30%,,(X),16.70%,83.30%,,(X)
0407_!!Percent!!Margin of Error,(X),,±1.4,±1.4,±1.1,±1.0,,±1.2,±1.2,,±1.8,±1.2,±0.6,N,N,±1.0,±0.6,±1.7,±1.6,,±0.8,±1.2,±1.3,±1.3,±0.7,±0.9,±0.7,±1.2,±1.1,,(X),±1.3,±1.3,,(X)
0408_!!Total!!Estimate,595539,,97853,133744,188600,175342,,280767,314772,,510657,25449,18158,N,N,16924,N,101671,433636,,14713,31174,145060,164448,62395,113758,63991,549652,177749,,585377,47757,537620,,74367
0408_!!Total!!Margin of Error,±11156,,±5868,±6200,±7483,±6625,,±7780,±6502,,±11490,±4198,±2842,N,N,±3131,N,±8472,±10817,,±2859,±3606,±8148,±6140,±3748,±5154,±4304,±10980,±6050,,±11109,±5194,±10344,,±3592
0408_!!Percent!!Estimate,(X),,16.40%,22.50%,31.70%,29.40%,,47.10%,52.90%,,85.70%,4.30%,3.00%,N,N,2.80%,N,17.10%,72.80%,,2.50%,5.20%,24.40%,27.60%,10.50%,19.10%,10.70%,92.30%,29.80%,,(X),8.20%,91.80%,,(X)
0408_!!Percent!!Margin of Error,(X),,±0.9,±1.0,±1.0,±1.1,,±0.8,±0.8,,±1.2,±0.7,±0.5,N,N,±0.5,N,±1.4,±1.4,,±0.5,±0.6,±1.2,±0.9,±0.6,±0.9,±0.7,±0.7,±1.0,,(X),±0.8,±0.8,,(X)
0409_!!Total!!Estimate,584808,,173544,155860,158849,96555,,291525,293283,,464796,44246,17947,N,N,20372,16037,113071,379586,,11272,27473,115695,159412,46118,147512,77326,546063,224838,,572079,59214,512865,,67034
0409_!!Total!!Margin of Error,±12263,,±8208,±7999,±6068,±5032,,±8630,±8617,,±10158,±5691,±2870,N,N,±3905,±2525,±8296,±10216,,±2262,±3785,±5681,±8194,±4042,±6511,±4665,±10915,±8497,,±12389,±5801,±12671,,±1815
0409_!!Percent!!Estimate,(X),,29.70%,26.70%,27.20%,16.50%,,49.80%,50.20%,,79.50%,7.60%,3.10%,N,N,3.50%,2.70%,19.30%,64.90%,,1.90%,4.70%,19.80%,27.30%,7.90%,25.20%,13.20%,93.40%,38.40%,,(X),10.40%,89.60%,,(X)
0409_!!Percent!!Margin of Error,(X),,±1.2,±1.3,±0.9,±0.8,,±1.0,±1.0,,±1.3,±0.9,±0.5,N,N,±0.7,±0.4,±1.3,±1.5,,±0.4,±0.6,±1.0,±1.2,±0.7,±1.0,±0.8,±0.7,±1.3,,(X),±1.0,±1.0,,(X)
0501_!!Total!!Estimate,548521,,104202,130880,181236,132203,,268993,279528,,435651,N,N,N,N,3871,N,13178,428227,,23277,50063,221456,131214,39141,56886,26484,475181,83370,,523849,79580,444269,,43268
0501_!!Total!!Margin of Error,±3466,,±2224,±3485,±3529,±1834,,±2712,±2265,,±3083,N,N,N,N,±1401,N,±1750,±2547,,±2261,±4558,±5979,±5621,±3139,±3601,±2567,±5515,±4423,,±3568,±5271,±6571,,±1675
0501_!!Percent!!Estimate,(X),,19.00%,23.90%,33.00%,24.10%,,49.00%,51.00%,,79.40%,N,N,N,N,0.70%,N,2.40%,78.10%,,4.20%,9.10%,40.40%,23.90%,7.10%,10.40%,4.80%,86.60%,15.20%,,(X),15.20%,84.80%,,(X)
0501_!!Percent!!Margin of Error,(X),,±0.4,±0.6,±0.6,±0.3,,±0.3,±0.3,,±0.4,N,N,N,N,±0.3,N,±0.3,±0.4,,±0.4,±0.8,±1.1,±1.0,±0.6,±0.6,±0.5,±0.8,±0.8,,(X),±1.0,±1.0,,(X)
0502_!!Total!!Estimate,576874,,124697,140322,185045,126810,,271823,305051,,423779,131844,6639,N,N,4755,N,15218,414085,,14290,40926,177484,137425,47970,103605,55174,521658,158779,,562079,73990,488089,,54268
0502_!!Total!!Margin of Error,±2705,,±2290,±2335,±2428,±1754,,±2173,±1547,,±2288,±1814,±1311,N,N,±1671,N,±2016,±1580,,±2525,±3930,±6828,±6036,±4342,±5817,±4007,±5209,±7250,,±3211,±5281,±5369,,±2353
0502_!!Percent!!Estimate,(X),,21.60%,24.30%,32.10%,22.00%,,47.10%,52.90%,,73.50%,22.90%,1.20%,N,N,0.80%,N,2.60%,71.80%,,2.50%,7.10%,30.80%,23.80%,8.30%,18.00%,9.60%,90.40%,27.50%,,(X),13.20%,86.80%,,(X)
0502_!!Percent!!Margin of Error,(X),,±0.4,±0.4,±0.4,±0.3,,±0.2,±0.2,,±0.3,±0.3,±0.2,N,N,±0.3,N,±0.3,±0.4,,±0.4,±0.7,±1.2,±1.0,±0.8,±1.0,±0.7,±0.8,±1.2,,(X),±0.9,±0.9,,(X)
0503_!!Total!!Estimate,579984,,133418,144219,179203,123144,,280459,299525,,514422,N,12124,N,1020,12159,N,45101,483737,,19159,41664,175924,145471,40418,104740,52608,519161,157348,,564172,73379,490793,,54563
0503_!!Total!!Margin of Error,±4340,,±2588,±3226,±2973,±2158,,±3456,±3030,,±4452,N,±1602,N,±835,±2798,N,±3387,±2922,,±2723,±4077,±7320,±6334,±3255,±5722,±3887,±6343,±6586,,±4924,±5981,±7300,,±2038
0503_!!Percent!!Estimate,(X),,23.00%,24.90%,30.90%,21.20%,,48.40%,51.60%,,88.70%,N,2.10%,N,0.20%,2.10%,N,7.80%,83.40%,,3.30%,7.20%,30.30%,25.10%,7.00%,18.10%,9.10%,89.50%,27.10%,,(X),13.00%,87.00%,,(X)
0503_!!Percent!!Margin of Error,(X),,±0.4,±0.5,±0.5,±0.4,,±0.4,±0.4,,±0.6,N,±0.3,N,±0.1,±0.5,N,±0.6,±0.6,,±0.5,±0.7,±1.2,±1.1,±0.6,±1.0,±0.7,±0.8,±1.1,,(X),±1.1,±1.1,,(X)
0504_!!Total!!Estimate,530036,,100257,111882,179777,138120,,254487,275549,,408205,N,2887,N,N,5281,N,12569,401435,,18360,44133,209043,132618,38008,59251,28623,467543,87874,,511685,82745,428940,,43830
0504_!!Total!!Margin of Error,±3629,,±2759,±2651,±3151,±1848,,±2635,±2687,,±3665,N,±868,N,N,±1443,N,±1835,±3131,,±2299,±3530,±6100,±6093,±3353,±4029,±2683,±5112,±5124,,±4214,±5855,±6797,,±1637
0504_!!Percent!!Estimate,(X),,18.90%,21.10%,33.90%,26.10%,,48.00%,52.00%,,77.00%,N,0.50%,N,N,1.00%,N,2.40%,75.70%,,3.50%,8.30%,39.40%,25.00%,7.20%,11.20%,5.40%,88.20%,16.60%,,(X),16.20%,83.80%,,(X)
0504_!!Percent!!Margin of Error,(X),,±0.5,±0.5,±0.5,±0.4,,±0.4,±0.4,,±0.5,N,±0.2,N,N,±0.3,N,±0.3,±0.4,,±0.4,±0.7,±1.1,±1.1,±0.6,±0.8,±0.5,±0.7,±1.0,,(X),±1.1,±1.1,,(X)
0601_!!Total!!Estimate,548314,,106652,121836,170432,149394,,275328,272986,,479713,N,14359,N,N,12619,N,60636,438701,,11274,36340,141854,167597,58255,90654,42340,500700,132994,,530309,70482,459827,,62265
0601_!!Total!!Margin of Error,±5508,,±3054,±3462,±3725,±2712,,±3716,±3315,,±5692,N,±1526,N,N,±2647,N,±3328,±4609,,±1989,±3551,±6259,±5840,±3585,±4523,±3496,±6013,±5112,,±5571,±5280,±8175,,±2466
0601_!!Percent!!Estimate,(X),,19.50%,22.20%,31.10%,27.20%,,50.20%,49.80%,,87.50%,N,2.60%,N,N,2.30%,N,11.10%,80.00%,,2.10%,6.60%,25.90%,30.60%,10.60%,16.50%,7.70%,91.30%,24.30%,,(X),13.30%,86.70%,,(X)
0601_!!Percent!!Margin of Error,(X),,±0.5,±0.6,±0.5,±0.5,,±0.4,±0.4,,±0.6,N,±0.3,N,N,±0.5,N,±0.5,±0.6,,±0.4,±0.6,±1.1,±1.1,±0.6,±0.8,±0.6,±0.7,±0.9,,(X),±1.0,±1.0,,(X)
0602_!!Total!!Estimate,531039,,87804,107066,182020,154149,,258428,272611,,447324,N,20187,N,N,19663,21382,60638,412991,,8395,27856,99726,134347,45927,138015,76773,494788,214788,,519402,48857,470545,,81376
0602_!!Total!!Margin of Error,±6821,,±3724,±3695,±4195,±3922,,±4179,±4127,,±6343,N,±1495,N,N,±4144,±2475,±4672,±5652,,±1531,±2513,±5893,±5611,±3697,±5275,±3924,±6965,±6062,,±7037,±4120,±7698,,±3021
0602_!!Percent!!Estimate,(X),,16.50%,20.20%,34.30%,29.00%,,48.70%,51.30%,,84.20%,N,3.80%,N,N,3.70%,4.00%,11.40%,77.80%,,1.60%,5.20%,18.80%,25.30%,8.60%,26.00%,14.50%,93.20%,40.40%,,(X),9.40%,90.60%,,(X)
0602_!!Percent!!Margin of Error,(X),,±0.7,±0.6,±0.6,±0.7,,±0.4,±0.4,,±0.7,N,±0.3,N,N,±0.8,±0.5,±0.8,±0.8,,±0.3,±0.5,±1.0,±1.1,±0.7,±1.0,±0.7,±0.6,±1.0,,(X),±0.8,±0.8,,(X)
0603_!!Total!!Estimate,522479,,130387,125788,159377,106927,,260030,262449,,370244,37996,53404,N,N,23373,25757,121511,280618,,19147,34063,130501,154779,52528,84729,46732,469269,131461,,503711,58688,445023,,76054
0603_!!Total!!Margin of Error,±7178,,±5622,±4954,±4970,±3172,,±4640,±4927,,±6346,±3445,±4178,N,N,±3339,±2770,±5189,±5099,,±3228,±3954,±5622,±7254,±3790,±5263,±3999,±7788,±6643,,±7771,±6053,±8064,,±2017
0603_!!Percent!!Estimate,(X),,25.00%,24.10%,30.50%,20.50%,,49.80%,50.20%,,70.90%,7.30%,10.20%,N,N,4.50%,4.90%,23.30%,53.70%,,3.70%,6.50%,25.00%,29.60%,10.10%,16.20%,8.90%,89.80%,25.20%,,(X),11.70%,88.30%,,(X)
0603_!!Percent!!Margin of Error,(X),,±1.0,±0.9,±0.8,±0.6,,±0.6,±0.6,,±1.1,±0.6,±0.8,N,N,±0.6,±0.5,±0.9,±1.0,,±0.6,±0.8,±1.0,±1.3,±0.8,±1.0,±0.8,±0.9,±1.2,,(X),±1.2,±1.2,,(X)
0604_!!Total!!Estimate,577133,,81476,126768,204076,164813,,284329,292804,,501842,N,27214,N,N,8381,N,61006,458411,,10047,28088,128919,155497,63469,131021,60092,538998,191113,,568093,42275,525818,,86945
0604_!!Total!!Margin of Error,±6929,,±3356,±3992,±4085,±3279,,±4321,±4008,,±6506,N,±2138,N,N,±1945,N,±3239,±5752,,±1552,±2946,±5377,±6400,±4118,±5042,±3649,±7642,±5637,,±7004,±4129,±7469,,±2114
0604_!!Percent!!Estimate,(X),,14.10%,22.00%,35.40%,28.60%,,49.30%,50.70%,,87.00%,N,4.70%,N,N,1.50%,N,10.60%,79.40%,,1.70%,4.90%,22.30%,26.90%,11.00%,22.70%,10.40%,93.40%,33.10%,,(X),7.40%,92.60%,,(X)
0604_!!Percent!!Margin of Error,(X),,±0.5,±0.6,±0.6,±0.5,,±0.4,±0.4,,±0.6,N,±0.4,N,N,±0.3,N,±0.5,±0.7,,±0.3,±0.5,±0.9,±1.0,±0.7,±0.8,±0.6,±0.6,±0.9,,(X),±0.7,±0.7,,(X)
