Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
4810_!!Percent!!Estimate,(X),,20.40%,28.40%,33.00%,18.10%,,48.00%,52.00%,,74.60%,13.40%,4.30%,N,N,4.70%,2.40%,20.90%,59.80%,,2.20%,4.70%,22.10%,24.00%,7.60%,26.10%,13.40%,93.10%,39.50%,,(X),6.40%,93.60%,,(X)
4810_!!Percent!!Margin of Error,(X),,±1.0,±1.3,±1.2,±0.9,,±1.0,±1.0,,±1.6,±1.3,±0.6,N,N,±0.8,±0.4,±1.4,±1.7,,±0.4,±0.7,±1.4,±1.3,±0.8,±1.4,±0.8,±0.8,±1.6,,(X),±0.9,±0.9,,(X)
4811_!!Total!!Estimate,543743,,121081,139937,163101,119624,,265375,278368,,467995,23748,4277,N,N,34909,N,172470,337563,,22685,47931,164148,149654,38555,82100,38670,473127,120770,,526536,51367,475169,,65450
4811_!!Total!!Margin of Error,±7588,,±4063,±4774,±5098,±3386,,±5475,±4442,,±8325,±2479,±988,N,N,±5994,N,±5458,±3681,,±2944,±4677,±7647,±6942,±3918,±5020,±3342,±7799,±6682,,±7620,±5798,±8479,,±1974
4811_!!Percent!!Estimate,(X),,22.30%,25.70%,30.00%,22.00%,,48.80%,51.20%,,86.10%,4.40%,0.80%,N,N,6.40%,N,31.70%,62.10%,,4.20%,8.80%,30.20%,27.50%,7.10%,15.10%,7.10%,87.00%,22.20%,,(X),9.80%,90.20%,,(X)
4811_!!Percent!!Margin of Error,(X),,±0.6,±0.9,±0.8,±0.5,,±0.6,±0.6,,±1.2,±0.4,±0.2,N,N,±1.1,N,±0.7,±0.7,,±0.5,±0.8,±1.4,±1.2,±0.7,±0.9,±0.6,±1.0,±1.2,,(X),±1.1,±1.1,,(X)
4812_!!Total!!Estimate,584149,,125452,164555,185420,108722,,279144,305005,,478853,56672,16416,N,N,14743,N,94959,403104,,15693,34512,159372,143954,53383,121063,56172,533944,177235,,570504,44431,526073,,74863
4812_!!Total!!Margin of Error,±12195,,±6355,±6026,±6722,±4341,,±7010,±7629,,±10870,±6220,±3507,N,N,±3338,N,±6947,±9290,,±2767,±4019,±9979,±7880,±5371,±6547,±4412,±13097,±8012,,±12286,±5322,±11837,,±2364
4812_!!Percent!!Estimate,(X),,21.50%,28.20%,31.70%,18.60%,,47.80%,52.20%,,82.00%,9.70%,2.80%,N,N,2.50%,N,16.30%,69.00%,,2.70%,5.90%,27.30%,24.60%,9.10%,20.70%,9.60%,91.40%,30.30%,,(X),7.80%,92.20%,,(X)
4812_!!Percent!!Margin of Error,(X),,±0.9,±1.0,±1.0,±0.6,,±0.7,±0.7,,±1.2,±1.0,±0.6,N,N,±0.6,N,±1.1,±1.3,,±0.5,±0.7,±1.4,±1.3,±0.9,±1.1,±0.7,±0.9,±1.3,,(X),±0.9,±0.9,,(X)
